timestamp,open,high,low,close,price_levels,absorption
1773156985,25121.75,25122.5,25121.0,25121.0,"{""25121.75"": [1, 1], ""25122.0"": [1, 3], ""25122.25"": [3, 0], ""25122.5"": [3, 0], ""25121.5"": [1, 0], ""25121.0"": [0, 1]}",-0.9387755102040816
1773156986,25120.5,25122.25,25120.0,25122.25,"{""25120.5"": [0, 1], ""25120.25"": [0, 1], ""25120.0"": [0, 6], ""25122.25"": [1, 0]}",6.049382716049383
1773156987,25121.0,25121.25,25120.75,25121.25,"{""25121.0"": [0, 1], ""25121.25"": [2, 0], ""25120.75"": [0, 1]}",-0.0
1773156988,25120.75,25121.0,25120.75,25121.0,"{""25120.75"": [1, 0], ""25121.0"": [1, 0]}",-1.0
1773156989,25121.5,25121.5,25120.0,25120.0,"{""25121.5"": [1, 0], ""25120.75"": [0, 1], ""25120.5"": [0, 1], ""25120.25"": [0, 2], ""25120.0"": [0, 1]}",0.4444444444444444
1773156990,25120.25,25120.5,25119.75,25119.75,"{""25120.25"": [1, 0], ""25120.5"": [3, 1], ""25120.0"": [0, 1], ""25119.75"": [0, 2]}",-0.0
1773156991,25119.5,25119.5,25119.0,25119.0,"{""25119.5"": [0, 2], ""25119.25"": [0, 5], ""25119.0"": [0, 7]}",1.0
1773156992,25120.0,25120.25,25119.75,25119.75,"{""25120.0"": [1, 0], ""25120.25"": [1, 0], ""25119.75"": [1, 0]}",-2.0
1773156993,25119.25,25119.5,25118.5,25119.5,"{""25119.25"": [1, 0], ""25118.5"": [0, 1], ""25119.5"": [1, 0]}",-0.1111111111111111
1773156994,25120.5,25120.5,25120.0,25120.0,"{""25120.5"": [1, 0], ""25120.0"": [0, 2], ""25120.25"": [1, 0]}",-0.0
1773156995,25120.25,25120.75,25119.0,25119.0,"{""25120.25"": [1, 0], ""25120.75"": [1, 0], ""25120.0"": [0, 1], ""25119.5"": [0, 2], ""25119.0"": [1, 0]}",-0.0
1773156996,25119.25,25120.0,25118.5,25118.75,"{""25119.25"": [1, 0], ""25120.0"": [1, 0], ""25119.75"": [0, 1], ""25118.75"": [1, 3], ""25118.5"": [1, 2]}",0.04000000000000001
1773156997,25118.25,25118.25,25117.75,25117.75,"{""25118.25"": [0, 3], ""25118.0"": [0, 5], ""25117.75"": [0, 5]}",1.0
1773156998,25117.25,25118.5,25117.25,25117.75,"{""25117.25"": [2, 1], ""25117.5"": [4, 0], ""25118.0"": [1, 0], ""25118.5"": [1, 0], ""25117.75"": [1, 0]}",-0.6400000000000001
1773156999,25117.75,25117.75,25117.75,25117.75,"{""25117.75"": [0, 1]}",1.0
1773157000,25118.75,25119.25,25118.75,25119.25,"{""25118.75"": [1, 0], ""25119.0"": [1, 0], ""25119.25"": [1, 0]}",-1.0
1773157001,25118.5,25118.5,25117.25,25117.25,"{""25118.5"": [0, 6], ""25117.25"": [0, 1]}",1.0
1773157002,25118.5,25118.5,25118.5,25118.5,"{""25118.5"": [1, 0]}",-1.0
1773157003,25119.0,25119.5,25118.5,25119.5,"{""25119.0"": [3, 0], ""25118.75"": [0, 1], ""25118.5"": [0, 2], ""25119.25"": [6, 0], ""25119.5"": [3, 0]}",-0.36
1773157004,25118.25,25119.0,25118.0,25118.0,"{""25118.25"": [0, 1], ""25119.0"": [2, 0], ""25118.75"": [0, 1], ""25118.5"": [1, 0], ""25118.0"": [0, 1]}",-0.0
1773157005,25117.75,25118.5,25117.25,25118.0,"{""25117.75"": [0, 1], ""25118.25"": [4, 0], ""25118.0"": [2, 5], ""25117.5"": [1, 0], ""25117.25"": [0, 2], ""25118.5"": [1, 0]}",-0.0
1773157006,25118.0,25118.0,25114.5,25115.25,"{""25118.0"": [0, 1], ""25116.75"": [0, 2], ""25115.5"": [0, 1], ""25115.25"": [2, 2], ""25115.0"": [0, 4], ""25114.75"": [0, 3], ""25114.5"": [0, 4]}",0.6232686980609419
1773157007,25115.5,25115.5,25114.0,25114.25,"{""25115.5"": [4, 0], ""25114.75"": [0, 1], ""25114.25"": [0, 6], ""25114.0"": [0, 6], ""25115.0"": [1, 0]}",0.19753086419753085
